type of algorithm,information released
SO,0.018677914067535873
Nash,0.025142994208794664
RSGM,0.03275814240504289
PS_RSGM,0.06803135233455106
CP-RSGM,0.042934399735247986
Nash,0.025152098861500202
RSGM,0.04083691444869573
PS_RSGM,0.06413374358814646
CP-RSGM,0.032982968247525196
Nash,0.025151418731133853
RSGM,0.033876159727399054
PS_RSGM,0.04147729286955731
CP-RSGM,0.030609520964359725
Nash,0.023908395565886753
RSGM,0.035395141111936826
PS_RSGM,0.04300181064797861
CP-RSGM,0.043505838818742634
Nash,0.0239246978872431
RSGM,0.030145347267193576
PS_RSGM,0.03472587910705591
CP-RSGM,0.022426532396201043
Nash,0.025152305047406433
RSGM,0.032220839514921794
PS_RSGM,0.05680779529325798
CP-RSGM,0.04261682543454707
Nash,0.0239277958587263
RSGM,0.03402765669762955
PS_RSGM,0.04025797628162635
CP-RSGM,0.03623438595056433
Nash,0.023910720325972273
RSGM,0.03050805788687834
PS_RSGM,0.0358072322128618
CP-RSGM,0.023671769051464446
Nash,0.023909527088628032
RSGM,0.037178950704710924
PS_RSGM,0.043658866704215496
CP-RSGM,0.028529558782925027
Nash,0.02514446310354126
RSGM,0.0419381557526824
PS_RSGM,0.05605186756030983
CP-RSGM,0.04024801345139771
Nash,0.023922387862896376
RSGM,0.031360161508958616
PS_RSGM,0.041045615253085324
CP-RSGM,0.02822940314539664
Nash,0.023912831830238374
RSGM,0.025120963862226644
PS_RSGM,0.03460063010319584
CP-RSGM,0.022117163548083976
Nash,0.025152953780463026
RSGM,0.03810634215908361
PS_RSGM,0.0687367631700167
CP-RSGM,0.04570216318627572
Nash,0.02391402448076963
RSGM,0.04313462804594645
PS_RSGM,0.058346320716634786
CP-RSGM,0.04864736166536386
Nash,0.023906114316705824
RSGM,0.03719405247783711
PS_RSGM,0.044282278118789195
CP-RSGM,0.029227122146304834
Nash,0.023906857887218594
RSGM,0.025771973309508485
PS_RSGM,0.02554966304208538
CP-RSGM,0.0186383563365351
Nash,0.025152580858171465
RSGM,0.0325509453637257
PS_RSGM,0.03191311633057253
CP-RSGM,0.024195673572251174
Nash,0.02514428138356278
RSGM,0.03002144577383234
PS_RSGM,0.043877649534570545
CP-RSGM,0.029868853374259374
Nash,0.025152208327966948
RSGM,0.026885414465006016
PS_RSGM,0.030480217421565273
CP-RSGM,0.031655402036522284
Nash,0.025152290182260482
RSGM,0.033391154753647526
PS_RSGM,0.0523496468049401
CP-RSGM,0.04864079131786888
